hotspot_id,feature_id,contrat_id,contrato,area_nombre,operador,estado_area,tipo_contrato,cuenca,proceso,distancia_m,clase_espacial
516a9afa9c29e30fccc73a1e,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,878.34,hasta_1_km
516a9afa9c29e30fccc73a1e,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,1201.58,entre_1_y_5_km
62072e4547214a42c4096888,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,0.00,dentro
62072e4547214a42c4096888,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,745.89,hasta_1_km
62072e4547214a42c4096888,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,4358.43,entre_1_y_5_km
a3d09284050cdc01cef93163,78,0212,VMM 15,NO APLICA,LOH ENERGY,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VMM,MINIRONDA 2008,0.00,dentro
a3d09284050cdc01cef93163,79,0224,VMM 17,NO APLICA,MORICHAL SINOCO,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VMM,MINIRONDA 2008,1187.92,entre_1_y_5_km
d57c5dbcd85f47a5412c416f,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,0.00,dentro
d57c5dbcd85f47a5412c416f,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,712.67,hasta_1_km
d57c5dbcd85f47a5412c416f,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,2016.11,entre_1_y_5_km
dde1931a2fce70a17fc8ecf2,97,0787,PUT 36,NO APLICA,AMERISUR EXPLORACION COLOMBIA LIMITED,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CAG PUT,PPAA 2019 PRIMER CORTE,0.00,dentro
e368a3fd897239ef5a038110,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,0.00,dentro
ec88a0f718b396434ce3c4f0,179,0357,ARMERO,ARMERO,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VMM,NO APLICA,1902.28,entre_1_y_5_km
f0e5d6d8106cc44b14a429b8,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,0.00,dentro
f0e5d6d8106cc44b14a429b8,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,788.30,hasta_1_km
f0e5d6d8106cc44b14a429b8,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,1630.26,entre_1_y_5_km
f98d7f69e00666925d02f172,179,0357,ARMERO,ARMERO,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VMM,NO APLICA,1632.31,entre_1_y_5_km
0ddd0e990fe9e7b398a54750,66,0034,ABANICO,NO APLICA,FRONTERA ENERGY COLOMBIA CORP.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,0.00,dentro
0ddd0e990fe9e7b398a54750,458,0039,BUGANVILES,NO APLICA,FRONTERA ENERGY COLOMBIA CORP.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,2117.96,entre_1_y_5_km
0ddd0e990fe9e7b398a54750,100,0254,VSM 3,NO APLICA,TELPICO COLOMBIA LLC,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,OPEN ROUND 2010,2575.39,entre_1_y_5_km
1dda2456b67040a582fbf6ba,57,0115,LA POLA,NO APLICA,VAROSA ENERGY SOCIEDAD POR ACCIONES SIMPLIFICADAS,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VMM,CONTRATACION DIRECTA,1870.75,entre_1_y_5_km
2d292ab99e4a8174aa80542d,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,0.00,dentro
2d292ab99e4a8174aa80542d,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,1377.43,entre_1_y_5_km
2d292ab99e4a8174aa80542d,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,1923.85,entre_1_y_5_km
34cfd4250c0ce39fd7f92596,57,0115,LA POLA,NO APLICA,VAROSA ENERGY SOCIEDAD POR ACCIONES SIMPLIFICADAS,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VMM,CONTRATACION DIRECTA,515.54,hasta_1_km
526b5c8493f41de425ef7f0d,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,0.00,dentro
526b5c8493f41de425ef7f0d,62,0038,CHIPALO,NO APLICA,LAS QUINCHAS RESOURCES CORP,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,2062.21,entre_1_y_5_km
526b5c8493f41de425ef7f0d,20,0017,SAN LUIS,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,3025.22,entre_1_y_5_km
6379b6e257469f864c12c8d4,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,0.00,dentro
696c8765ac8ed98b7ae5d9c0,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,0.00,dentro
696c8765ac8ed98b7ae5d9c0,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,2513.91,entre_1_y_5_km
72a532d3e923c41df5489345,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,0.00,dentro
72a532d3e923c41df5489345,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,892.75,hasta_1_km
72a532d3e923c41df5489345,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,2936.92,entre_1_y_5_km
8be1ebccc2c52934f18b743b,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,322.18,hasta_1_km
8be1ebccc2c52934f18b743b,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,1203.24,entre_1_y_5_km
8be1ebccc2c52934f18b743b,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,1778.66,entre_1_y_5_km
afa5f32e1d9b2c0099a8e015,410,0243,COR 39,NO APLICA,ARROW EXPLORATION SUCURSAL COLOMBIA,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),COR,OPEN ROUND 2010,2970.91,entre_1_y_5_km
